story.Prologue_Ending_K7_3.misc_ending.text.b2ff0612ad27bc8a1a8b57cfec905752c9f9048a,Not at all.,"Không, làm gì quen.",Kat,blegh,
story.Prologue_Ending_K7_3.misc_ending.text.15803390f5b109234e9d5b5cddc5bf1d3ebe9df1,"They seem to know you, though.",Nhưng mà nó có vẻ lại biết mày đó.,Saki,confused,
story.Prologue_Ending_K7_3.misc_ending.text.cb47725c034d9671acdb88376ba39a10b70240d2,What is it with everyone warning me lately?,Tại sao gần đây đứa nào đứa nấy đều cảnh báo tao vậy?,Kat,annoyed,
story.Prologue_Ending_K7_3.misc_ending.text.b8d42716aca4de249568d45f6b086cc0985e5f89,I need some answers.,Trả lời tao cái.,Kat,,
story.Prologue_Ending_K7_3.misc_ending.text.339c92daf8c9798fd888e189233a2b8d5ad501fd,"So far, you haven't-",Nãy giờ mày cứ–,Kat,suspicious,
story.Prologue_Ending_K7_3.misc_ending.text.8256861f38b20b7bf550858ea82a503eb84237a1,Stop! Don't cross that line.,Đứng lại! Chớ có bước qua lằn đó.,,,
story.Prologue_Ending_K7_3.misc_ending.text.a02d057a764ee283c5f00e69709935565643195a,Sigh…,Hầy…,,,
story.Prologue_Ending_K7_3.misc_ending.text.5e9f7a1078a54450588dce82045ae321f5761a12,"If you haven't realized by now, the ritual works.",Nếu ngươi vẫn còn chưa nhận ra thì nghi thức thành công rồi đấy.,,,
story.Prologue_Ending_K7_3.misc_ending.text.ed0bd51d37693a1499bc48115bf86c09e621ae2b,It will take you somewhere you'll never return from.,Và nó sẽ dắt ngươi đi đến cái nơi mà không đời nào có thể thoát khỏi.,,,
story.Prologue_Ending_K7_3.misc_ending.text.deff0e9f3d4be7227935b09e148bf50963d6f926,If it works then… I should definitely finish it.,Nếu gọi là thành công rồi… thì tao càng phải làm cho đến cùng.,Kat,annoyed2,
story.Prologue_Ending_K7_3.misc_ending.text.4a19202490b32a8ed5c48e7e490d11198360e42c,"Kat, what are you saying…?","Kat, mày nói gì thế…?",Juli,angry3,
story.Prologue_Ending_K7_3.misc_ending.text.564fa9b5e036ab452b95eb88a75818c0b9d4d19e,"Sorry, but I can't listen to this person. I have my reasons for doing this.","Xin lỗi, nhưng mà tao không thể nghe lời của tên này được. Tao có lý do bắt buộc phải làm.",Kat,,
story.Prologue_Ending_K7_3.misc_ending.text.68f04ba1456216481752605fac39f4c8c28a4696,I don't know how much you value what you have right now but…,Ta không biết ngươi trân trọng những gì bây giờ ngươi có đến nhường nào…,,,
story.Prologue_Ending_K7_3.misc_ending.text.4c4f3e42a131aed78e13eb9c1d17f87e54ffd047,"If you continue down this path, you'll lose everything.","Nhưng nếu tiếp tục con đường này, ngươi sẽ mất hết tất cả.",,,
story.Prologue_Ending_K7_3.misc_ending.text.dbf2510d609bc00509491b550ff7d77a6122b35d,"Everything you hold dear, and everything you don't.","Mọi thứ mà ngươi trân quý, và cả mọi thứ mà ngươi phớt lờ.",,,
story.Prologue_Ending_K7_3.misc_ending.text.b3b761edd76bd78683eedb4db10b2f74632a9fed,Your questions will not receive any satisfying answers…,Những khúc mắc của ngươi sẽ không có được câu trả lời trọn vẹn nào…,,,
story.Prologue_Ending_K7_3.misc_ending.text.38cbb9bf602fcc5f484198170fadc34929bfbeb1,And everything you know about the world will turn meaningless.,Và mọi thứ ngươi biết về thế giới này sẽ trở nên công cốc hết.,,,
story.Prologue_Ending_K7_3.misc_ending.text.dc4194a283bda5492f90ba9edf0779ab193ecc2e,Those three.,3 người kia.,,,
story.Prologue_Ending_K7_3.misc_ending.text.44c582df70cc6e653adf2cf0df3f29fd1b6e16ca,…?,…?,Saki,concerned,
story.Prologue_Ending_K7_3.misc_ending.text.2a3b7c4a49ec67117957fb0e0249dff3d47b0acd,"Are you willing to sacrifice their lives for your so-called ""reasons""?","Ngươi có sẵn lòng hy sinh tính mạng của chúng vì cái thứ gọi là ""lý do"" đó không?",,,
story.Prologue_Ending_K7_3.misc_ending.text.f4318de916780c4011e8b35caa89f4ea6f318fd8,Lives…?,Tính mạng sao…?,Kaya,concerned4,
story.Prologue_Ending_K7_3.misc_ending.text.19f4a7dc05067a0d6a5f864c9b9f02e4904b1dae,"Furthermore, your own life.",Và còn cả tính mạng của bản thân ngươi nữa.,,,
story.Prologue_Ending_K7_3.misc_ending.text.dc12f18994a91882690d5a4ff926d6e458f28fcb,Are you wiling to die for the answers you're seeking?,Ngươi có sẵn lòng bỏ mạng vì câu trả lời mà ngươi đang tìm kiếm không?,,,
story.Prologue_Ending_K7_3.misc_ending.text.625a32cccec2c4729a7d073480ee56bb6067571f,"Let's go back, Kat.",Quay về thôi Kat ơi.,Juli,baka2,
story.Prologue_Ending_K7_3.misc_ending.text.4587521ed78cf1d9e7fcb3d5b516307dac87b452,I want to leave…,Tao cũng muốn về…,Kaya,concerned5,
story.Prologue_Ending_K7_3.misc_ending.text.e02b66bf124abff6d7c77d582e07fb3e463a2762,I don't believe you. Why don't you just give me my answers yourself then? Spare me the trip.,Không tin. Sao mày không cho tao câu trả lời cho rồi đi? Bớt tốn công tao.,Kat,,
story.Prologue_Ending_K7_3.misc_ending.text.188474bf1b2200c379001d4b77822d72c9a1249d,I thought so.,Tao tưởng thế nào.,Kat,annoyed2,
story.Prologue_Ending_K7_3.misc_ending.text.f033d918b9f44edfe78022e5e8e9635b2895ccab,I've said what I needed to.,Ta đã nói những gì cần nói rồi.,,,
story.Prologue_Ending_K7_3.misc_ending.text.d0b9dce1f9b3f3c76e379ccc415c7a245626edf8,Why? Who are you?,Thế là sao? Mày là ai hả?,Kat,suspicious,
story.Prologue_Ending_K7_3.misc_ending.text.6e4923cdb63423c529eb18a335079cf11fea4558,Just someone who has seen too many humans die.,Ta chỉ là một kẻ đã trông thấy quá nhiều người phải chết mà thôi.,,,
story.Prologue_Ending_K7_3.misc_ending.text.78c632b9d9ae820d1d6290f582300e0e2209c1aa,It would sadden me to add you four to the pile.,Tăng thêm 4 người các ngươi vào thì làm ta buồn lòng lắm.,,,
story.Prologue_Ending_K7_3.misc_ending.text.11308c85dc1385569c40db1a535c3e60db08da4a,"Go home, Kat.",Đi về đi Kat.,,,
story.Prologue_Ending_K7_3.misc_ending.text.df038954878cd49220724608e781a86d53083709,Can't you feel it in the air here? You're all in danger.,Ngươi không cảm thấy bầu không khí ở đây sao? Các ngươi giờ đều đang gặp nguy đấy.,,,
story.Prologue_Ending_K7_3.misc_ending.text.263f5170d989024c9f9f0b47bf1b1ff277373ae8,"Kat, please, this feels too dangerous…","Kat ơi, xin đấy, nguy hiểm lắm đó…",Kaya,concerned6,
story.Prologue_Ending_K7_3.misc_ending.text.076af39e96469e9de0023916aa235560f4ca289d,"Kat, let's just go.","Kat, đi về đi thôi.",Juli,angry3,
story.Prologue_Ending_K7_3.misc_ending.text.b9446951077ccd6557f74cc50aea390e5b11a0f3,"Yeah, let's get out of here. I didn't sign up for this.","Đúng đó, đi ra chỗ này đi. Tao theo không phải để làm trò này.",Saki,angry2,
story.Prologue_Ending_K7_3.misc_ending.text.cf19d135223f935f5f76b6918a1086c2f4e93e62,"Kat, we don't want something bad to happen to you.","Kat ơi, bọn tao không thích có chuyện không hay xảy ra với mày đâu mà.",Kaya,concerned4,
story.Prologue_Ending_K7_3.misc_ending.text.462ec874c573b65f09b8fded2ffac12ad3fbc984,"Fine, let's go.","Được rồi, đi về.",Kat,concerned,
story.Prologue_Ending_K7_3.misc_ending.text.4abfd9ef0f54c0a0baf6b551551d8711b339fe3b,Are you by any chance the same person from my dream earlier today?,Mày có khi nào cũng chính là người trong giấc mơ tao ban nãy?,Kat,,
story.Prologue_Ending_K7_3.misc_ending.text.5fb35283aaca4a06f38fe881fe74384771a51697,A dream…?,Giấc mơ ư…?,,,
story.Prologue_Ending_K7_3.misc_ending.text.231e086edc0d3c14b1820291f5b5532dbeee9ef1,It must have been your subconscious warning you as well.,Đấy nhất định là tiềm thức cũng đang cảnh báo cho ngươi đó.,,,
story.Prologue_Ending_K7_3.misc_ending.text.da0f976bec77533dc2cf275558c340d253799830,…I see.,…Thì ra là thế nhể.,Kat,,
,,,,,
story.Prologue_Ending_K7_3.misc_ending.text.bd1b2296a3efb34cccfb9c34842b9da4ba55939b,(Oh.),(À phải.),Kat,,x
story.Prologue_Ending_K7_3.misc_ending.choice.text.0f191db739ceeb5699b40bc0137c574af753db9c,(Should I give this person the blueprints I found…?),(Có nên đưa cho người này bản thiết kế mình thấy hay chăng…?),,,x
story.Prologue_Ending_K7_3.misc_ending.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,Đưa,,,x
story.Prologue_Ending_K7_3.misc_ending.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,Không đưa,,,x
,,,,,x
story.Prologue_Ending_K7_3.misc_ending.text.34b13f386f35252c1bb32e4b4540b450585c87d4,By the way…,Mà này…,Kat,afraid2,x
story.Prologue_Ending_K7_3.misc_ending.text.d054cb185bf0682525048d1912ddc706e14e0f33,I found these weird blueprints a few minutes ago.,"Mới nãy, tao có thấy bản thiết kế kì lạ này.",Kat,afraid,x
story.Prologue_Ending_K7_3.misc_ending.text.61c4e96e8e749ca1a28981b6a4aa34575c590c3b,Just take them.,Hãy nhận lấy đi.,Kat,,x
story.Prologue_Ending_K7_3.misc_ending.text.36d5e5a67f803063f700fe555786561d83acc249,Otherwise I might change my mind.,Bằng không có khi tao đổi ý bây giờ.,Kat,afraid2,x
story.Prologue_Ending_K7_3.misc_ending.text.d40601d252b22b57db120b13eeecc0c4e1f347d2,Huh… this is…,Hử… đây là…,,,x
story.Prologue_Ending_K7_3.misc_ending.text.174534c6b3882921f07bb41f7a29c9824d9b171b,Thank you.,Cảm ơn ngươi.,,,x
story.Prologue_Ending_K7_3.misc_ending.text.5a392f4ad825d44a77678c0272478dc7e79fa4b7,"You're doing the right thing, Kat. Your father would be glad.",Ngươi làm điều đúng đắn rồi Kat ạ. Ba của ngươi nhất định sẽ mừng lắm.,,,x
story.Prologue_Ending_K7_3.misc_ending.text.fc0b7c296bf91dd1b67c129c5f558089da7b3735,It's okay to accept the life you're left with. Don't destroy it.,Đón nhận lấy cuộc sống được để lại cho ngươi thì tốt mà. Đừng có phá bỏ nó.,,,x
story.Prologue_Ending_K7_3.misc_ending.text.210180c5c838a174787efc57bb7a75aecb6b341e,…I guess.,…Có lẽ vậy.,Kat,concerned,x
story.Prologue_Ending_K7_3.misc_ending.text.ee84353ce05e47d67d16a00954068ca1bd47812d,Kat!!!,Kat!!!,Saki,angry,x
story.Prologue_Ending_K7_3.misc_ending.text.904e87689ff246ecf50887af9d023cea1f8a6e78,Go already. You can't be here.,Đi nhanh đi. Đừng có mà ở lại đây.,,,x
story.Prologue_Ending_K7_3.misc_ending.text.9dcb488326b6e6e317df684b1f00f38f6e2ef215,If what you said is true…,Nếu điều mày nói đấy là sự thật…,Kat,concerned,x
story.Prologue_Ending_K7_3.misc_ending.text.9a4b23e4169f4dc872e15e97b0572492eef02a40,Then thanks.,Thì vô cùng cảm ơn.,Kat,concerned2,x
,,,,,x
story.Prologue_Ending_K7_3.misc_ending.text.ff39528f1bd570dd8305acfe8b2960b4cfc0a522,I'll pass on the ritual.,Tao sẽ dừng lại nghi thức…,Kat,annoyed2,
story.Prologue_Ending_K7_3.misc_ending.text.3bbf36daa63b44029f28edb2d862ca650675656c,For tonight.,…cho tối nay.,Kat,annoyed,
story.Prologue_Ending_K7_3.misc_ending.text.a9083d9433980028904800ac4a0a98e6831bbe3c,That's good enough.,Chỉ thế thôi cũng đủ rồi.,,,
,,,,,
story.Prologue_Ending_K7_3.misc_trashcans.text.b407f58f78653d921be22a788a50e81828e6acfa,A large pile of trash cans. They all seem to be empty.,Núi thùng rác khổng lồ. Cái nào cũng có vẻ trống không hết.,,,
